"S.No.","Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Localbody Type Code","Local Body Type Name","Parent Localbody Code"
"149.0","259453","1","Pulloullo","Puloulo","11","Village Council","259444"
"150.0","259488","1","Pulobaha","Pulobaha","11","Village Council","259444"
"151.0","259451","1","Pulobaha (Paphathifen)","Pulobaha (Paphathifen)","11","Village Council","259444"
"152.0","259471","1","Pulobed","Pulobed","11","Village Council","259444"
"153.0","259467","1","Pulobed (Lababu)","Pulobed (Lababu)","11","Village Council","259444"
"154.0","259455","1","Pulobha","Pulobahan","11","Village Council","259444"
"155.0","259481","1","Pulobhabi","Pulobhabi","11","Village Council","259444"
"156.0","259472","1","Pulokunji","Pulokunji","11","Village Council","259444"
"157.0","259509","1","Pulomilo","Pulomilo","11","Village Council","259444"
"158.0","259457","1","Pulopanja","Pulopanja","11","Village Council","259444"
"159.0","259486","1","Pulopucca","Pulopucca","11","Village Council","259444"
"160.0","259450","1","Pulotalio","PuloTohio","11","Village Council","259444"
"161.0","259443","1","Raihion","Raihion","11","Village Council","259438"
"162.0","259409","1","Ramzoo","Ramzoo","11","Village Council","259393"
"163.0","259496","1","Ranganathan Bay","Ranganathan Bay","11","Village Council","259444"
"164.0","259348","1","Reakomlong","Reakomlong","11","Village Council","259326"
"165.0","259474","1","Renguang","Renguang","11","Village Council","259444"
"166.0","259387","1","Safedbalu","Safedbalu","11","Village Council","259362"
"167.0","259433","1","Safedbalu","SafedBalu","11","Village Council","259426"
"168.0","259332","1","Sanaya","Sanaya","11","Village Council","259326"
"169.0","259312","1","Sawai","Sawai","11","Village Council","259309"
"170.0","259495","1","Shompen Hut","Shompen Hut","11","Village Council","259444"
"171.0","259473","1","Shompen Village – A","Shompen Village – A","11","Village Council","259444"
"172.0","259477","1","Shompen Village - B","Shompen Village - B","11","Village Council","259444"
"173.0","259324","1","Small Lapati","Small Lapati","11","Village Council","259309"
"174.0","259349","1","Sonomkuwa","Sonomkuwa","11","Village Council","259326"
"175.0","259439","1","Tahaila","Tahaila","11","Village Council","259438"
"176.0","259422","1","Tamae","Tamae","11","Village Council","259393"
"177.0","259319","1","Tamaloo","Tamaloo","11","Village Council","259309"
"178.0","259389","1","Tanae","Tanae","11","Village Council","259362"
