"S.No.","District Code","District Name","Sub-District Code","Sub-District Name","Village Code","Village Version","Village Name","Village Name","Village Category","Village Status","Census 2001 Code","Census 2011 Code"
"173","603","Nicobars","5917","Nancowry","645107","1","Okiya/Chiya*","","Rural","Un-Inhabitant","00044800","645107"
"174","603","Nicobars","5917","Nancowry","645108","1","Olinpon/Alhinpon*","","Rural","Un-Inhabitant","00044900","645108"
"175","603","Nicobars","5917","Nancowry","645058","1","Ongulongho*","","Rural","Un-Inhabitant","00040300","645058"
"176","603","Nicobars","5917","Nancowry","645089","1","Payak*","","Rural","Un-Inhabitant","00043000","645089"
"177","603","Nicobars","5917","Nancowry","645124","1","Payuha","","Rural","Inhabitant","00046500","645124"
"178","603","Nicobars","5917","Nancowry","645104","1","Pilpilow","","Rural","Inhabitant","00044500","645104"
"179","603","Nicobars","5917","Nancowry","645032","1","Raihion","","Rural","Inhabitant","00037700","645032"
"180","603","Nicobars","5917","Nancowry","645126","1","Ramzoo*(Ramjaw)","","Rural","Inhabitant","00046700","645126"
"181","603","Nicobars","5917","Nancowry","645070","1","Reakomlong*","","Rural","Un-Inhabitant","00041500","645070"
"182","603","Nicobars","5917","Nancowry","645135","1","Safedbalu*","","Rural","Un-Inhabitant","00047600","645135"
"183","603","Nicobars","5917","Nancowry","645040","1","Safedbalu*","","Rural","Inhabitant","00038500","645040"
"184","603","Nicobars","5917","Nancowry","645051","1","Sanaya*","","Rural","Un-Inhabitant","00039600","645051"
"185","603","Nicobars","5917","Nancowry","645071","1","Sonomkuwa*","","Rural","Un-Inhabitant","00041600","645071"
"186","603","Nicobars","5917","Nancowry","645028","1","Tahaila","","Rural","Inhabitant","00037300","645028"
"187","603","Nicobars","5917","Nancowry","645114","1","Tanae*","","Rural","Un-Inhabitant","00045500","645114"
"188","603","Nicobars","5917","Nancowry","645067","1","Tani*","","Rural","Un-Inhabitant","00041200","645067"
"189","603","Nicobars","5917","Nancowry","645098","1","Tapani/Tapainy*","","Rural","Inhabitant","00043900","645098"
"190","603","Nicobars","5917","Nancowry","645138","1","Tapiang*","","Rural","Un-Inhabitant","00047900","645138"
"191","603","Nicobars","5917","Nancowry","645091","1","Tapong Incl. Kabila","","Rural","Inhabitant","00043200","645091"
"192","603","Nicobars","5917","Nancowry","645072","1","Tavinkin/Tavakin*","","Rural","Un-Inhabitant","00041700","645072"
"193","603","Nicobars","5917","Nancowry","645033","1","Tillang Chong Island*","","Rural","Un-Inhabitant","00037800","645033"
"194","603","Nicobars","5917","Nancowry","645118","1","Tomae/Inmae*","","Rural","Un-Inhabitant","00045900","645118"
"195","603","Nicobars","5917","Nancowry","645137","1","Trinket*","","Rural","Un-Inhabitant","00047800","645137"
"196","603","Nicobars","5917","Nancowry","645103","1","Uper Tapu*","","Rural","Un-Inhabitant","00044400","645103"
"197","603","Nicobars","5917","Nancowry","645080","1","Upper Katchal","","Rural","Inhabitant","","645080"
"198","603","Nicobars","5917","Nancowry","645130","1","Vikas Nagar","","Rural","Inhabitant","00047100","645130"
"199","603","Nicobars","5917","Nancowry","645062","1","Vyavtapu*","","Rural","Un-Inhabitant","00040700","645062"
"200","603","Nicobars","5917","Nancowry","645084","1","W.B.Katchal/Hindra*","","Rural","Un-Inhabitant","00042500","645084"
"201","632","North And Middle Andaman","5919","Diglipur","645280","1","Aam Tikry (Fdca)","","Rural","Un-Inhabitant","00006600","645280"
"202","632","North And Middle Andaman","5919","Diglipur","645227","1","Aerial Bay (Rv)","","Rural","Inhabitant","00003700","645227"
