"Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Local Body Type Code","Local Body Type Name","_Local Body Code","_Local Body Version","_Local Body Name (In English)","_Local Body Name (In Local)","_Local Body Type Code","_Local Body Type Name"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259451","1","Pulobaha (Paphathifen)","Pulobaha (Paphathifen)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259471","1","Pulobed","Pulobed","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259467","1","Pulobed (Lababu)","Pulobed (Lababu)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259455","1","Pulobha","Pulobahan","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259481","1","Pulobhabi","Pulobhabi","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259472","1","Pulokunji","Pulokunji","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259509","1","Pulomilo","Pulomilo","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259457","1","Pulopanja","Pulopanja","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259486","1","Pulopucca","Pulopucca","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259450","1","Pulotalio","PuloTohio","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259496","1","Ranganathan Bay","Ranganathan Bay","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259474","1","Renguang","Renguang","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259495","1","Shompen Hut","Shompen Hut","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259473","1","Shompen Village – A","Shompen Village – A","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259477","1","Shompen Village - B","Shompen Village - B","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259503","1","Trinket Bay","Trinket Bay","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259363","1","Alipa","Alips","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259372","1","Alnilhitniltouch (Balubasti)","AlNilHitNilTouch (BaluBasti)","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259379","1","Alreak","Alreak","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259371","1","Altheak","Altheak","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259381","1","Bompoka Island","Bompoka Island","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259374","1","Champin","Champin","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259382","1","E-Wall","E-Wall","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259365","1","Hindra","Hindra","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259375","1","Hinnunga","Hinnunga","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259380","1","Hintona","Hintona","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259383","1","Inroak/Chinlak","Inroak/Chinlak","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259378","1","Itoi","ITOI","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259384","1","Japan Tikry","Japan Tikry","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259385","1","Kapila","Kapila","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259370","1","Lanuanga","Lanuanga","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259364","1","Lapat","Lapat","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259373","1","Malacca","Malacca","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259386","1","Meenakshi Ram Nagar","Meenakshi Ram Nagar","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259366","1","Mus","Mus","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259368","1","Neang","Neang","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259377","1","Nroak/Chiniak","Nroak/Chiniak","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259367","1","Payak","Payak","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259387","1","Safedbalu","Safedbalu","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259389","1","Tanae","Tanae","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259376","1","Tapani (Tapainy)","Tapani (Tapainy)","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259388","1","Tapiang","Tapiang","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259369","1","Tappong (Incl. Kabila)","Tappong (Incl. Kabila)","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259390","1","Tilang Chong Island","Tilang Chong Island","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259391","1","Trinket","Trinket","11","Village Council"
"259362","2","Nancowry","NANCOWRY","19","Tribal Council","259392","1","Upper Katchal","Upper Katchal","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259428","1","Aloora","Aloora","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259427","1","Aloorang","Aloorang","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259437","1","Bengali","Bengali","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259432","1","Chukmachi","ChukMachi","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259429","1","Enam","Enam","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259431","1","Kalara","Kalara","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259436","1","Kalasi","Kalasi","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259435","1","Kanahinot","Kanahinot","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259430","1","Luxi","Luxi","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259434","1","Minyuk","Minyuk","11","Village Council"
"259426","2","Teressa","Teressa","19","Tribal Council","259433","1","Safedbalu","SafedBalu","11","Village Council"
