State Code,State Name (In English),District Code,District Name (In English),District Name (Local),District Version,District Census 2001 Code,District Census 2011 Code,Sub District Code,Sub District Name,Sub District Name (Local),Subdistrict Version,Sub District Census 2001 Code,Sub District Census 2011 Code,Development Block Code,Development Block Name (In English),Development Block Name (Local),Development Block Version,Village Code,Village Name (In English),Village Name (Local),Village Category,Village Status,Village Census 2001 Code,Village Census 2011 Code
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645093,Altheak,,Rural,Inhabitant,43400.0,645093
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645121,Alukian/Alhukheck,,Rural,Inhabitant,46200.0,645121
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645066,Atkuna/Alkun*,,Rural,Un-Inhabitant,41100.0,645066
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645116,Banderkari/Pulu,,Rural,Inhabitant,45700.0,645116
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645044,Bengali,,Rural,Inhabitant,38900.0,645044
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645129,Berainak/Badnak,,Rural,Inhabitant,47000.0,645129
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645045,Bompoka Island*,,Rural,Inhabitant,39000.0,645045
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645109,Bumpal*,,Rural,Un-Inhabitant,45000.0,645109
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645096,Champin,,Rural,Inhabitant,43700.0,645096
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645113,Chanel/Chanol*,,Rural,Inhabitant,45400.0,645113
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645119,Changua/Changup,,Rural,Inhabitant,46000.0,645119
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645065,Chengtamilan*,,Rural,Un-Inhabitant,41000.0,645065
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645050,Chonghipoh*,,Rural,Un-Inhabitant,39500.0,645050
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645029,Chongkamong,,Rural,Inhabitant,37400.0,645029
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645059,Chonsiyala*,,Rural,Un-Inhabitant,40400.0,645059
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645128,Chota Inak,,Rural,Inhabitant,46900.0,645128
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645039,Chukmachi,,Rural,Inhabitant,38400.0,645039
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645111,Daring,,Rural,Inhabitant,45200.0,645111
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645036,Enam,,Rural,Inhabitant,38100.0,645036
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645083,E-Wall,,Rural,Inhabitant,,645083
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645069,Hakonhala*,,Rural,Un-Inhabitant,41400.0,645069
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645073,Halnatai/Hoinatai*,,Rural,Un-Inhabitant,41800.0,645073
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645087,Hindra*,,Rural,Un-Inhabitant,42800.0,645087
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645097,Hinnunga*,,Rural,Un-Inhabitant,43800.0,645097
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645102,Hintona*,,Rural,Un-Inhabitant,44300.0,645102
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645048,Hitlat*,,Rural,Un-Inhabitant,39300.0,645048
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645136,Hockook*,,Rural,Un-Inhabitant,47700.0,645136
