"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"188","603","Nicobars","638","02","5917","Nancowry","05917","0","645067","Tani*","645067","00041200","",""
"189","603","Nicobars","638","02","5917","Nancowry","05917","0","645098","Tapani/Tapainy*","645098","00043900","",""
"190","603","Nicobars","638","02","5917","Nancowry","05917","0","645138","Tapiang*","645138","00047900","",""
"191","603","Nicobars","638","02","5917","Nancowry","05917","0","645091","Tapong Incl. Kabila","645091","00043200","",""
"192","603","Nicobars","638","02","5917","Nancowry","05917","0","645072","Tavinkin/Tavakin*","645072","00041700","",""
"193","603","Nicobars","638","02","5917","Nancowry","05917","0","645033","Tillang Chong Island*","645033","00037800","",""
"194","603","Nicobars","638","02","5917","Nancowry","05917","0","645118","Tomae/Inmae*","645118","00045900","",""
"195","603","Nicobars","638","02","5917","Nancowry","05917","0","645137","Trinket*","645137","00047800","",""
"196","603","Nicobars","638","02","5917","Nancowry","05917","0","645103","Uper Tapu*","645103","00044400","",""
"197","603","Nicobars","638","02","5917","Nancowry","05917","0","645080","Upper Katchal","645080","","",""
"198","603","Nicobars","638","02","5917","Nancowry","05917","0","645130","Vikas Nagar","645130","00047100","",""
"199","603","Nicobars","638","02","5917","Nancowry","05917","0","645062","Vyavtapu*","645062","00040700","",""
"200","603","Nicobars","638","02","5917","Nancowry","05917","0","645084","W.B.Katchal/Hindra*","645084","00042500","",""
"201","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645280","Aam Tikry (Fdca)","645280","00006600","234465","Diglipur"
"202","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645227","Aerial Bay (Rv)","645227","00003700","234467","Keralapuram"
"203","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645253","Amber Chad (Efa)","645253","00001200","234465","Diglipur"
"204","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645282","Austin Creek (Fdca)","645282","00006900","234465","Diglipur"
"205","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645287","Austin II (Efa)","645287","00007500","234465","Diglipur"
"206","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645285","Austin IX (Fc)","645285","00007200","234465","Diglipur"
"207","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645269","Bali Nallaha (Efa)","645269","00005000","234465","Diglipur"
"208","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645270","Bamboo Nallaha (Efa)","645270","00005100","234465","Diglipur"
"209","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645284","Bamboo Nallaha (Efa)","645284","00007100","234465","Diglipur"
"210","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645249","Bandhan Nallaha (Efa)","645249","00000700","234465","Diglipur"
