"State Code","State Name (In English)","District Code","District Name (In English)","Development Block Code","Development Block Name (In English)","Village Code","Village Name (In English)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645120","Masala Tapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645049","Mavatapis/Maratapia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645081","Meenakshi Ram Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645079","Mildera"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645041","Minyuk"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645133","Mohreak/Kohreakap*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645125","Munak Incl. Ponioo/Moul"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645090","Neang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645105","Neeche Tapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645132","Nyicalang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645107","Okiya/Chiya*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645108","Olinpon/Alhinpon*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645058","Ongulongho*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645089","Payak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645124","Payuha"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645104","Pilpilow"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645032","Raihion"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645126","Ramzoo*(Ramjaw)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645070","Reakomlong*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645040","Safedbalu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645135","Safedbalu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645051","Sanaya*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645071","Sonomkuwa*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645028","Tahaila"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645114","Tanae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645067","Tani*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645098","Tapani/Tapainy*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645138","Tapiang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645091","Tapong Incl. Kabila"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645072","Tavinkin/Tavakin*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645033","Tillang Chong Island*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645118","Tomae/Inmae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645137","Trinket*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645103","Uper Tapu*"
